Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized,Case_Fatality_Ratio,UID,ISO3,Testing_Rate,Hospitalization_Rate,Date,People_Tested,Mortality_Rate
New Hampshire,US,2/7/2021 5:30,43.4525,-71.5639,68260,1098,62942,4220,33,5020.184436,1312474,,1.608555523,84000033,USA,96525.95294,,2/6/2021,,
New Jersey,US,2/7/2021 5:30,40.2989,-74.521,717835,21964,69543,626328,34,8081.734347,9716746,,3.059756072,84000034,USA,109395.8359,,2/6/2021,,
New Mexico,US,2/7/2021 5:30,34.8405,-106.2485,177214,3386,110240,63588,35,8451.523706,2418457,,1.910684257,84000035,USA,115338.7806,,2/6/2021,,
New York,US,2/7/2021 5:30,42.1657,-74.9481,1470301,44478,132012,1293811,36,7558.004419,33247575,,3.025094862,84000036,USA,170907.3984,,2/6/2021,,
North Carolina,US,2/7/2021 5:30,35.6301,-79.8064,791521,9926,683697,97898,37,7546.859846,9224449,,1.25404127,84000037,USA,8.79517E-06,,2/6/2021,,
North Dakota,US,2/7/2021 5:30,47.5289,-99.784,97718,1453,95834,819,38,12873.75568,1361923,,1.481051108,84000038,USA,178715.5113,,2/6/2021,,
Northern Mariana Islands,US,2/7/2021 5:30,15.0979,145.6739,133,2,29,102,69,241.1867112,17562,,1.503759398,580,MNP,31847.52648,,2/6/2021,,
Ohio,US,2/7/2021 5:30,40.3888,-82.7649,918079,17756,819180,81139,39,7854.14617,10945332,,1.934474049,84000039,USA,9.36371E-06,,2/6/2021,,
Oklahoma,US,2/7/2021 5:30,35.5653,-96.9289,402590,3761,371736,27093,40,10174.19637,3291315,,0.934201048,84000040,USA,83177.63764,,2/6/2021,,
Oregon,US,2/7/2021 5:30,44.572,-122.0709,146741,2020,,,41,3479.140591,3271481,,1.376575054,84000041,USA,77564.84105,,2/6/2021,,
Pennsylvania,US,2/7/2021 5:30,40.5908,-77.2098,874445,22396,735763,116286,42,6830.540161,9459462,,2.561167369,84000042,USA,73890.56497,,2/6/2021,,
Puerto Rico,US,2/7/2021 5:30,18.2208,-66.5901,95355,1872,84659,8824,72,2985.727499,1604537,,1.963190184,630,PRI,50240.787,,2/6/2021,,
Rhode Island,US,2/7/2021 5:30,41.6809,-71.5118,117891,2400,7233,108258,44,11128.50105,2611257,,2.035778813,84000044,USA,246493.5938,,2/6/2021,,
South Carolina,US,2/7/2021 5:30,33.8569,-80.945,462981,7611,205514,249856,45,8992.167753,4426262,,1.643911953,84000045,USA,85968.30199,,2/6/2021,,
South Dakota,US,2/7/2021 5:30,44.2998,-99.4388,109132,1804,104956,2372,46,12336.05265,659546,,1.65304402,84000046,USA,7.45537E-06,,2/6/2021,,
Tennessee,US,2/7/2021 5:30,35.7478,-86.6923,736491,10463,703426,22957,47,10789.67969,6562382,,1.419971066,84000047,USA,96093.34892,,2/6/2021,,
Texas,US,2/7/2021 5:30,31.0545,-97.5635,2526817,39223,2080185,404726,48,8705.005376,18034823,,1.552319982,84000048,USA,62197.87907,,2/6/2021,,
Utah,US,2/7/2021 5:30,40.15,-111.8624,353700,1733,320182,31785,49,11032.58371,2668996,,0.489963246,84000049,USA,83251.12182,,2/6/2021,,
Vermont,US,2/7/2021 5:30,44.0459,-72.7107,12766,182,9372,3212,50,2045.869398,917191,,1.425661914,84000050,USA,146988.3283,,2/6/2021,,
Virgin Islands,US,2/7/2021 5:30,18.3358,-64.8963,2449,24,2359,66,78,2283.066711,42562,,0.979991833,850,VIR,39678.18921,,2/6/2021,,
Virginia,US,2/7/2021 5:30,37.7693,-78.17,526176,6773,41489,477914,51,6164.546057,5410417,,1.287211883,84000051,USA,63387.08871,,2/6/2021,,
Washington,US,2/7/2021 5:30,47.4009,-121.4905,320146,4449,,,53,4204.208779,4694650,,1.389678459,84000053,USA,61650.8991,,2/6/2021,,
West Virginia,US,2/7/2021 5:30,38.4912,-80.9545,124190,2119,105185,16886,54,6929.677086,2007725,,1.706256542,84000054,USA,112029.0356,,2/6/2021,,
Wisconsin,US,2/7/2021 5:30,44.2685,-89.6165,600016,6611,527575,65830,55,10305.24348,6334264,,1.101803952,84000055,USA,1.08791E-05,,2/6/2021,,
Wyoming,US,2/7/2021 5:30,42.756,-107.3025,52618,624,51018,976,56,9091.521687,683414,,1.185905964,84000056,USA,118082.6562,,2/6/2021,,
Alabama,US,2/8/2021 5:30,32.3182,-86.9023,472423,8515,252880,211028,1,9635.022949,,,1.802410128,84000001,USA,,,2/7/2021,,
Alaska,US,2/8/2021 5:30,61.3707,-152.4044,55261,279,,,2,7554.012398,1536911,,0.504876857,84000002,USA,210091.1085,,2/7/2021,,
American Samoa,US,2/8/2021 5:30,-14.271,-170.132,0,0,,,60,0,2140,,,16,ASM,3846.084722,,2/7/2021,,
Arizona,US,2/8/2021 5:30,33.7298,-111.4312,780637,14048,107979,658610,4,10724.92584,6982148,,1.799556004,84000004,USA,48750.25365,,2/7/2021,,
Arkansas,US,2/8/2021 5:30,34.9697,-92.3731,306736,5076,285306,16354,5,10164.21212,2529325,,1.654843253,84000005,USA,83813.42857,,2/7/2021,,
California,US,2/8/2021 8:30,36.1162,-119.6816,3477877,43860,,,6,8806.024404,43994322,,1.255138734,84000006,USA,111343.5759,,2/7/2021,,
Colorado,US,2/8/2021 5:30,39.0598,-105.3111,422335,5954,21445,378154,8,7038.523732,5653529,,1.413909654,84000008,USA,98173.08868,,2/7/2021,,
Connecticut,US,2/8/2021 5:30,41.5978,-72.7554,259372,7214,9800,242358,9,7274.926254,5959472,,2.781333374,84000009,USA,167152.6584,,2/7/2021,,
Delaware,US,2/8/2021 5:30,39.3185,-75.5071,80594,1335,,,10,8276.543392,1310947,,1.656450852,84000010,USA,1.34627E-05,,2/7/2021,,
Diamond Princess,US,2/8/2021 5:30,,,49,0,,,88888,,,,0,84088888,USA,,,2/7/2021,,
District of Columbia,US,2/8/2021 5:30,38.8974,-77.0268,38035,952,26835,10248,11,5389.309797,1135605,,2.502957802,84000011,USA,160907.7732,,2/7/2021,,
Florida,US,2/8/2021 5:30,27.7663,-81.6868,1777983,27696,,,12,8278.260414,21387686,,1.557720181,84000012,USA,99580.72398,,2/7/2021,,
Georgia,US,2/8/2021 5:30,33.0406,-83.6431,940991,15092,,,13,8862.706139,6664276,,1.603841057,84000013,USA,62767.3589,,2/7/2021,,
Grand Princess,US,2/8/2021 5:30,,,103,3,,,99999,,,,2.912621359,84099999,USA,,,2/7/2021,,
Guam,US,2/8/2021 5:30,13.4443,144.7937,7636,129,7416,91,66,4649.605125,109201,,1.68936616,316,GUM,66493.1285,,2/7/2021,,
Hawaii,US,2/8/2021 5:30,21.0943,-157.4983,27236,418,,,15,1923.620214,1002019,,1.534733441,84000015,USA,70770.451,,2/7/2021,,
Idaho,US,2/8/2021 5:30,44.2405,-114.4788,165209,1767,86078,77364,16,9244.7113,613210,,1.069554322,84000016,USA,34313.80504,,2/7/2021,,
